[Item Stats]|en|ru
infernoMevius_desc|Kill Mevius on inferno difficulty|Убить Мевиуса на сложности Инферно
infernoOdin_desc|Kill Corrupted Odin on inferno difficulty|Убить Оскверненного Одина на сложности Инферно
||
gamba100_desc|Destroy 100 slot machines|Уничтожить 100 игровых автоматов
||
[Chaos Tower Debuffs]||
ct_shadeOfChaos|Shade of Chaos|Тень Хаоса
ct_chaosTurrets|Chaos Turrets|Турели Хаоса
ct_poolsOfChaos|Pools of Chaos|Лужи Хаоса
ct_stutter|Stutter|Запинка
ct_chaosFortitude|Chaos Fortitude|Стойкость Хаоса
ct_BloatedIntestines|Bloated Intestines|Вздутые кишки
ct_chaosEnchant|Chaos Enchant|Чары Хаоса
ct_chaosCorrosion|Chaos Corrosion|Коррозия Хаоса
ct_absoluteChaos|Absolute Chaos|Абсолютный Хаос
ct_pillarsOfFire|Pillars of Fire|Столпы огня
ct_spawnsOfChaos|Spawns of Chaos|Порождения Хаоса
ct_legionOfChaos|Legion of Chaos|Легион Хаоса
ct_resistanceIsFutile|Resistance is Futile|Сопротивление бесполезно
ct_lifeNoMore|Life no More|Жизни больше нет
ct_electricChaos|Electric Chaos|Электрический Хаос
ct_arcaniumOfChaos|Arcanium of Chaos|Арканиум Хаоса
ct_tribalExecution|Tribal Execution|Племенная казнь
ct_bloodBath|Bloodbath|Кровавая баня
ct_puppeteer|Puppeteer|Кукловод
ct_corrosiveRain|Corrosive Rain|Едкий дождь
ct_queenBee|Queen Bee|Королева пчел
ct_boomStick|Boomstick|Бумстик
ct_deepWounds|Deep Wounds|Глубокие раны
ct_reverseMatrix|Reverse Matrix|Обратная матрица
ct_boulderBlasting|Boulder Blasting|Взрыв валунов
ct_noEscape|No Escape|Нет выхода
ct_surpriseBomb|Surprise Bomb|Бомба-сюрприз
ct_timeToReap|Time to Reap|Время жатвы
ct_gargantuans|Gargantuans|Гаргантюа
ct_trickOrTreat|Trick or Treat|Кошелек или жизнь
ct_bulletHell|Bullet Hell|Пулевой ад
ct_reversal|Reversal|Инверсия
ct_speedPowder|Speed Powder|Порошок скорости
ct_superSized|Supersized|Суперразмер
ct_combatImpairement|Combat Impairement|Боевые штрафы
ct_quickSand|Quicksand|Зыбучие пески
ct_manaCorruption|Mana Corruption|Порча маны
ct_chaosSanctuary|Chaos Sanctuary|Святилище Хаоса
ct_chaosBerserkers|Chaos Berserkers|Берсерки Хаоса
ct_lifeTap|Life Tap|Жизнеотвод
ct_multiShot|Multishot|Мультивыстрел
ct_scorchedGround|Scorched Ground|Выжженная земля
ct_closeAndPersonal|Close and Personal|Лицом к лицу
ct_chaoticWeakness|Chaotic Weakness|Хаотическая слабость
ct_manaDevourer|Mana Devourer|Пожиратель маны
ct_emotionalDamage|Emotional Damage|Эмоциональный урон
ct_oldMansBack|Old Man´s Back|Спина старика
ct_shitamorphosis|Shitamorphosis|Шитоморфоз
ct_vitalCorrosion|Vital Corrosion|Коррозия живучести
ct_chaosChampions|Chaos Champions|Чемпионы Хаоса
||
||
ct_desc_shadeOfChaos|Shades spawn frequently nearby you following you around, when you come close they stop and explode after a short delay shattering your resistances|Тени часто появляются рядом и преследуют вас. При сближении они замирают и взрываются, разрушая ваши сопротивления.
ct_desc_chaosTurrets|Spawn multiple turrets in the floor that shoot chaos fire into a set direction|На полу появляются турели, стреляющие огнем Хаоса в заданном направлении.
ct_desc_poolsOfChaos|Monsters evaporate into pools of chaos essence dealing damage after a short delay from spawning|Монстры испаряются, превращаясь в лужи эссенции Хаоса, которые наносят урон через некоторое время.
ct_desc_stutter|Monsters always stun on hit|Монстры всегда оглушают при ударе.
ct_desc_chaosFortitude|Increased monster resistances by 40%|Сопротивления монстров увеличены на 40%.
ct_desc_BloatedIntestines|Increased monster life by 50%|Здоровье монстров увеличено на 50%.
ct_desc_chaosEnchant|Increased monster damage by 15%|Урон монстров увеличен на 15%.
ct_desc_chaosCorrosion|Monsters now always poison on hit dealing 20% of their damage as poisoned.|Монстры теперь всегда отравляют при ударе, нанося 20% своего урона в виде яда.
ct_desc_absoluteChaos|Monsters gain 1 extra affix|Монстры получают 1 дополнительный аффикс.
ct_desc_pillarsOfFire|Pillars of fire spawned at your feet frequently|У ваших ног часто возникают огненные столпы.
ct_desc_spawnsOfChaos|Monsters gain 25 Monster level|Уровень монстров увеличен на 25.
ct_desc_legionOfChaos|Monsters gain +1 rarity, legions gain an extra affix, +50% damage, -250% magic find|Редкость монстров повышена на 1. Легионы получают доп. аффикс, +50% урона, но -250% к шансу найти маг. предметы(MF).
ct_desc_resistanceIsFutile|Decreases your resistances by 75%|Снижает ваши сопротивления на 75%.
ct_desc_lifeNoMore|All life replenishing sources decreased by 75%|Все источники восполнения здоровья ослаблены на 75%.
ct_desc_electricChaos|All monsters become lightning enhanced|Все монстры получают усиление молнией.
ct_desc_arcaniumOfChaos|All monsters become arcana|Все монстры получают усиление тайной магией.
ct_desc_tribalExecution|A rain of arrows frequently storm into your location|На вас часто обрушивается ливень стрел.
ct_desc_bloodBath|Waves of blood are unleashed from a random direction towards you on a frequent basis|Волны крови часто накатывают на вас со случайных сторон.
ct_desc_puppeteer|Monsters scatter into multiple Cursed Dolls upon death|Монстры после смерти распадаются на несколько Проклятых кукол.
ct_desc_corrosiveRain|Venomous meteors rain from the sky unleshing a long lasting poison cloud when hitting the ground inflicting poisoned on hit|С неба падают ядовитые метеоры, создавая облака, которые отравляют при контакте.
ct_desc_queenBee|All monsters are now wasps with 40% Increased attack speed, 10% Increased Life and 15% Increased damage reduction|Все монстры становятся осами (+40% к скорости атаки, +10% к здоровью, +15% к снижению урона).
ct_desc_boomStick|All monsters are now Devilkin Bombers with 40% Increased attack speed, 20% Increased Life, 10% Increased damage dealt|Все монстры становятся бесами-подрывниками (+40% к скорости атаки, +20% к здоровью, +10% к урону).
ct_desc_deepWounds|Your life is drained by 6% of your maximum life per second|Вы теряете 6% от макс. здоровья в секунду.
ct_desc_reverseMatrix|You can no longer dodge any attacks or projectiles|Вы больше не можете уклоняться от атак и снарядов.
ct_desc_boulderBlasting|Three colossal boulders spawn inside the tower traveling in a circle around the floor|Внутри башни появляются три огромных валуна, катающихся по кругу.
ct_desc_noEscape|An Immortal Snail slowly follows you dealing fatal damage on hit|Бессмертная улитка медленно следует за вами, убивая при касании.
ct_desc_surpriseBomb|Monsters have a chance on death to throw an explosive towards you that explodes after a short delay|Монстры могут бросить в вас бомбу перед смертью.
ct_desc_timeToReap|Occasionally become targeted by death itself spawning in multiple scythes in an X or + pattern around you, after a short delay the fly towards you|Иногда Смерть берет вас на прицел, создавая вокруг косы, которые затем летят в вас.
ct_desc_gargantuans|Monsters grow in size, speed and deal increased damage the lower their health is|Монстры растут, ускоряются и бьют сильнее по мере потери здоровья.
ct_desc_trickOrTreat|Enemies have a low chance on death to explode into multiple homing pumpkin heads|Враги имеют малый шанс взорваться после смерти, выпустив самонаводящиеся тыквы.
ct_desc_bulletHell|All monster projectiles travel faster|Все снаряды монстров летят быстрее.
ct_desc_reversal|Your damage fluctuates between 50% and 150% of your total damage. Changing every 5 seconds|Ваш урон колеблется от 50% до 150% (меняется каждые 5 сек).
ct_desc_speedPowder|Monster movement speed is increased by 200%|Скорость передвижения монстров увеличена на 200%.
ct_desc_superSized|Increases monster attack / skill area of effect by 100%|Область действия атак и умений монстров увеличена на 100%.
ct_desc_combatImpairement|Decreases your total attack speed and cast rate by 25%|Общая скорость атаки и каста снижена на 25%.
ct_desc_quickSand|Decreases your total movement speed by 25%|Общая скорость передвижения снижена на 25%.
ct_desc_manaCorruption|Increases the mana cost of your skills by 100%|Затраты маны на умения увеличены на 100%.
ct_desc_chaosSanctuary|Monsters have a 25% chance to critically hit for 100% increased damage|Монстры имеют 25% шанс нанести критический удар с двойным уроном.
ct_desc_chaosBerserkers|Increases monster attack speed by 50%|Скорость атаки монстров увеличена на 50%.
ct_desc_lifeTap|Decreases your life by 33%|Ваше здоровье снижено на 33%.
ct_desc_multiShot|All monsters gain the multishot affix|Все монстры получают аффикс «Мультивыстрел».
ct_desc_scorchedGround|Spawns patches of scorched ground around the floor slowing and dealing fire damage.|На полу возникают участки выжженной земли, замедляющие и наносящие урон огнем.
ct_desc_closeAndPersonal|Monsters become proximity tangible and no longer take damage from long range damage sources.|Монстры становятся уязвимы только вблизи и не получают урона издалека.
ct_desc_chaoticWeakness|Decreases your maximum resistances by 25%|Ваши макс. сопротивления снижены на 25%.
ct_desc_manaDevourer|Ancient and Legion monsters get the Mana Devourer affix draining mana around them|Древние монстры и легионы получают аффикс «Пожиратель маны», истощая ману вокруг.
ct_desc_emotionalDamage|Lowers all damage dealt by 50%|Весь наносимый урон снижен на 50%.
ct_desc_oldMansBack|Increases all damage taken by 50%|Весь получаемый урон увеличен на 50%.
ct_desc_shitamorphosis|1% Chance on cast or attack to become steve|1% шанс превратиться в Стива при атаке или касте.
ct_desc_vitalCorrosion|Monster hits inflict a debuff reducing your maximum life by 1%|Удары монстров снижают ваше макс. здоровье на 1%.
ct_desc_chaosChampions|Monsters have a 20% chance on kill to unleash a random death rattle|У монстров есть 20% шанс активировать случайный предсмертный эффект.
||
||
[Chaos Tower Buffs]||
ct_angelicDropRates|Angel´s Grace|Милость ангела
ct_heroicDropRates|Hero´s Grace|Милость героя
ct_runeDropRates|Runic Grace|Руническая благодать
ct_magicFind|Magic Finder|Магическое чутье
ct_expGain|Combat Veteran|Ветеран боя
ct_movementSpeed|Swift Feet|Быстрые ноги
ct_lootAmount|Loot Goblin|Гоблин-барахольщик
ct_manaRegeneration|Manalicious|Мана-мания
ct_increasedLife|Vigor|Энергия
ct_increasedCrit|Destroyer|Разрушитель
ct_increasedGoldFind|Greedy Lizard|Жадная ящерица
ct_dropCommonCharm|Charms, So Many Charms|Талисманы, куча талисманов
ct_dropCommonSocketed|Lots of Potential|Большой потенциал
ct_dropMidRunes|Runic Grace|Благословение рун
ct_dropRune|Runic Feast|Рунический пир
ct_dropSatanic|Satanic Chant|Сатанический напев
ct_dropOre|Professional Spelunker|Мастер руд
ct_dropDungeonKey|Dungeon Master|Мастер подземелий
ct_dropAngelicKey|Key to Heaven|Ключ от небес
ct_dropPerfectGem|Jewelcrafter|Ювелир
ct_dropRandomDust|Enchanting Specialist|Мастер зачарования
||
ct_desc_angelicDropRates|Gain increased drop rate of angelic items.|Шанс выпадения ангельских предметов увеличен.
ct_desc_heroicDropRates|Gain increased drop rate of heroic items.|Шанс выпадения героических предметов увеличен.
ct_desc_runeDropRates|Gain increased drop rate of runes.|Шанс выпадения рун увеличен.
ct_desc_magicFind|Gain increased magic find.|Шанс найти маг. предметы(MF) увеличен.
ct_desc_expGain|Gain increased experience gained from killing monsters.|Получаемый опыт за убийство монстров увеличен.
ct_desc_movementSpeed|Gain increased movement speed|Скорость передвижения увеличена.
ct_desc_lootAmount|Gain increased amount of loot from killing monsters.|Количество добычи с монстров увеличено.
ct_desc_manaRegeneration|Gain increased mana replenish.|Восполнение маны увеличено.
ct_desc_increasedLife|Gain increased maximum life.|Максимальное здоровье увеличено.
ct_desc_increasedCrit|Gain increased critical strike and spell critical damage.|Критический урон атак и заклинаний увеличен.
ct_desc_increasedGoldFind|Gain increased gold drops from killing monsters.|Количество золота с монстров увеличено.
ct_desc_dropCommonCharm|Drop common charms after clearing the tower.|Обычные талисманы выпадают после зачистки башни.
ct_desc_dropCommonSocketed|Drop common items with sockets after clearing the tower.|Обычные предметы с гнездами выпадают после зачистки башни.
ct_desc_dropMidRunes|Drop mid tier runes after clearing the tower.|Руны среднего ранга выпадают после зачистки башни.
ct_desc_dropRune|Drop a random rune after clearing the tower.|Случайная руна выпадает после зачистки башни.
ct_desc_dropSatanic|Drop a satanic item after clearing the tower.|Сатанический предмет выпадает после зачистки башни.
ct_desc_dropOre|Drop ore after clearing the tower.|Руда выпадает после зачистки башни.
ct_desc_dropDungeonKey|Chance to drop a dungeon key after clearing the tower.|Шанс выпадения ключа подземелья после зачистки башни.
ct_desc_dropAngelicKey|Chance to drop an angelic key after clearing the tower.|Шанс выпадения ангельского ключа после зачистки башни.
ct_desc_dropPerfectGem|Drop perfect gems after clearing the tower.|Идеальные самоцветы выпадают после зачистки башни.
ct_desc_dropRandomDust|Drop a random amount of satanic crystal fragments after clearing the tower.|Случайное количество фрагментов сатанического кристалла выпадает после зачистки башни.
||
codexBuffName01|Infernal Magic Find|Адская удача
codexBuffName02|Infernal Runemaster|Адский мастер рун
codexBuffName03|Infernal Demigod|Адский полубог
codexBuffName04|Infernal Tinkerer|Адский ремесленник
codexBuffName05|Infernal Fortune Teller|Адский провидец
codexBuffName06|Infernal Essence Bender|Адский повелитель эссенций
codexBuffName07|Infernal Codex Master|Адский мастер кодексов
codexBuffName08|Infernal Loot Master|Адский мастер трофеев
codexBuffName09|Infernal Runeword|Адское рунное слово
codexBuffName10|Infernal Pillar Spawner|Адский призыватель столпов
||
codexBuff01|Increased total Magic Find|Общий шанс найти маг. предметы(MF) увеличен.
codexBuff02|Additional Rune Rolls on monster kill|Дополнительный шанс найти руны при убийстве монстров.
codexBuff03|Additional Rolls to Angelic and Unholy items on monster kill|Дополнительный шанс найти ангельские и сатаник предметы.
codexBuff04|Additional Rolls to high quality materials on monster kill|Дополнительные проверки на выпадение высококачественных материалов.
codexBuff05|Chance to drop a Tarot Card on monster kill|Шанс выпадения карты Таро при убийстве монстра.
codexBuff06|Chance to drop an Essence of Chaos on monster kill|Шанс выпадения эссенции Хаоса при убийстве монстра.
codexBuff07|Increased chance to drop Infernal Codex on monster kill|Шанс выпадения адского кодекса при убийстве монстра увеличен.
codexBuff08|All common item drops are S tier|Все выпадающие обычные предметы имеют ранг S.
codexBuff09|All common item drops are white|Все обычные предметы выпадают обычного (белого) качества.
codexBuff10|Monster Packs now spawn as Chaos Pillars|Группы монстров теперь заменяются столпами Хаоса.
||
codexDebuff01|Movement skills are disabled|Умения передвижения отключены.
codexDebuff02|Additional monster projectiles|Дополнительные снаряды у монстров.
codexDebuff03|Ancient monsters are proximity tangible|Древние монстры уязвимы только в ближнем бою.
codexDebuff04|Chance on hit to reflect your damage as a meteor on your location|Шанс при ударе обрушить на вас метеор, отражающий нанесенный урон.
codexDebuff05|Increased monster attack and aggro range|Дальность атаки и агрессии монстров увеличена.
codexDebuff06|Increased monster attack, movement and projectile speed|Скорость атаки, передвижения и снарядов монстров увеличена.
codexDebuff07|Summon 3 Scythes targeting you when using a flask|При использовании флакона появляются 3 косы, преследующие вас.
||
[Journal]||
journal_runewords|Runeword|Рунное слово
journal_chaos_pillar|Chaos Pillar|Столп Хаоса
journal_bifrost|Bifröst|Биврёст
journal_unstableRift|Unstable Rift|Нестабильный разлом
journal_eternalBattleField|Eternal Battle Field|Вечное поле битвы
journal_shadowRealm|Shadow Realm|Теневое царство
journal_chaosTower|Chaos Tower|Башня Хаоса
journal_wormhole|Wormhole|Червоточина
journal_challengeDungeons|Challenge Dungeon|Подземелье испытаний
journal_angelicRealm|Angelic Realm|Ангельское царство
journal_unholy_siege|Unholy Siege|Нечестивая осада
||
journal_desc_runewords|You can insert Runes into gray items with sockets in order to create powerful runeword items. Runes need to be inserted in the right order; You can find all the runewords in the journal´s Runewords tab.|Вы можете вставлять руны в серые предметы с гнездами, чтобы создавать мощные рунные слова. Руны нужно вставлять в правильном порядке. Список всех рунных слов можно найти во вкладке «Рунны» в журнале.
journal_desc_chaos_pillar|You can find Chaos Pillars in the overworld areas. These pillars can spawn as Common / Superior / Rare / Mythic / Satanic / Angelic. The higher rarity the pillar is, the more affixes it gives. Once you activate the pillar, it will collapse and spawn a pack of monsters with the pillars modifiers. You can obtain Chaos Keys as random drops from killing monsters!|Вы можете найти столпы Хаоса в открытом мире. Они бывают разной редкости: обычные, превосходные, редкие, мифические, сатанинские и ангельские. Чем выше редкость, тем больше аффиксов. При активации столп рушится и призывает группу монстров с модификаторами. Ключи Хаоса выпадают случайным образом из монстров.
journal_desc_bifrost|Once you find a Bifröst Key you can visit Astral Encampment (Act 7 town) to access Bifröst. In Bifröst you meet Heimdall who will grant you two randomly picked choices. Once chosen, enter the Bifröst device behind Heimdall to travel into the destination!|Найдя ключ Биврёста, вы можете попасть туда через Астральный лагерь (город 7 акта). Там вы встретите Хеймдалля, который предложит два случайных варианта. Сделав выбор, используйте устройство Биврёста за ним, чтобы отправиться в путь.
journal_desc_unstableRift|Unstable Rifts can spawn into the overworld areas. Entering a rift can send you inside a Chaos Tower, or into a random dungeon or into an unstable version of the area you entered in. Unstable areas have a chance to drop Unstable Dust from monsters when killed.|Нестабильные разломы могут появиться в открытом мире. Они ведут в Башню Хаоса, случайное подземелье или нестабильную версию текущей локации. В нестабильных зонах из монстров выпадает нестабильная пыль.
journal_desc_eternalBattleField|Eternal Battle Field can randomly spawn into the overworld areas. Going close to the portal it will activate, growing larger and larger spawning legions of monsters. These monsters can drop Battle Fragments, which can be used to enter a cleared portal to travel into the Eternal Battlefield.|Вечное поле битвы может случайно появиться в открытом мире. При приближении портал активируется и призывает легионы монстров. Из них выпадают фрагменты битвы, которые нужны для входа на само Вечное поле битвы.
journal_desc_shadowRealm|Shadow Realm can randomly spawn into the overworld areas. Entering the portal will take you to Shadow Realm where you can obtain Dimensional Shards from monster kills, buy items from the black market (Veras) or enter the portal using Dimensional Shards to fight against Shadow Reaper.|Теневое царство может случайно появиться в открытом мире. Там вы можете добыть пространственные осколки, купить предметы на черном рынке (Верас) или сразиться с Жнецом Теней, используя осколки.
journal_desc_chaosTower|Chaos Towers can randomly spawn into the overworld areas. Entering the tower will take you into the tower´s lobby where you can start the tower. Once in the first floor, you will be granted a buff and a debuff of your choice. At the last floor, you will claim your drop buffs and exit the tower or use Colosseum Fragments to enter the colosseum in order to fight against King Rakhul.|Башни Хаоса могут случайно появиться в открытом мире. В лобби башни вы можете начать испытание. На первом этаже вы выбираете усиление и ослабление. На последнем этаже вы получаете награды или можете сразиться с королем Рахулом в Колизее, используя фрагменты Колизея.
journal_desc_wormhole|Wormholes are timed areas where you can limit test your character. When you kill all the monsters and go towards the pentagram a boss will spawn. After beating the boss, gain all the items from monsters killed as a loot explosion. You can decide to upgrade your wormhole to make it harder, the faster you cleared the more levels you gain. Wormhole also has global rankings and at certain thresholds you will be eligible for seasonal rewards which range between different types of cosmetics!|Червоточины — это зоны на время для проверки силы персонажа. После убийства всех монстров и активации пентаграммы появляется босс. После победы вы получаете всю добычу разом. Вы можете повышать уровень червоточины, делая ее сложнее. Есть глобальный рейтинг и сезонные награды.
journal_desc_challengeDungeons|On Hell+ difficulty you can use Dungeon Keys to start a challenge at a specific dungeon. Talk to Lady Sonya outside the dungeon in order to activate it, after entering and clearing the dungeon you will be rewarded with a big treasure chest. You also gain incarnation experience from monster kills. Monsters can also drop Glyphs that can be leveled using the incarnation experience. You can put Glyphs into your incarnation tree after you are level 100 and gain hero levels.|На сложности Ад и выше вы можете использовать ключи подземелий для испытаний. Поговорите с леди Соней у входа. За зачистку вы получите большой сундук и опыт воплощения. Также выпадают глифы, которые можно улучшать и вставлять в дерево воплощения после 100 уровня.
journal_desc_angelicRealm|Once you find an Angelic Key you can visit Dawn´s Chappel (Act 6 town) to access the Angelic Realm by talking to St. Peter. In the angelic realm you can choose a random chest augment or the augment of your choice if you spend more keys when entering the left side gate. On the right side gate you can upgrade the augments level up to level 7. Bare in mind that you require the same amount of keys as the augments current level in order to upgrade it. From monster kills, only monsters with the “Fallen Angel” affix can drop Angelic Keys.|Найдя ангельский ключ, отправляйтесь в Часовню Рассвета (город 6 акта) к святому Петру. В Ангельском царстве можно выбрать улучшение сундука (левые врата) или повысить уровень улучшения до 7 (правые врата). Для улучшения нужно столько же ключей, каков текущий уровень. Ключи выпадают только из монстров с аффиксом «Падший ангел».
journal_desc_unholy_siege|Unholy Siege is a mystic structure which activates when approached. The portal will spawn monsters and trigger a random event with various kinds of possible rewards. Monsters from unholy siege can drop tarot cards.|Нечестивая осада — это мистическое строение, которое активируется при приближении. Портал призывает монстров и запускает случайное событие с наградами. Из монстров могут выпасть карты Таро.
